Market ID,Title,Category,Pexels Search,Filename,Priority
544095,Will Harvey Weinstein be sentenced to between 10 and 20 year,Crime,courthouse justice legal,market_544095.jpg,⭐ HIGH
544093,Will Harvey Weinstein be sentenced to less than 5 years in p,Crime,courthouse justice legal,market_544093.jpg,⭐ HIGH
544094,Will Harvey Weinstein be sentenced to between 5 and 10 years,Crime,courthouse justice legal,market_544094.jpg,⭐ HIGH
531202,BitBoy convicted?,Crime,bitcoin cryptocurrency digital,market_531202.jpg,⭐ HIGH
528820,Senator Eichorn guilty of soliciting a child?,Crime,courthouse law justice,market_528820.jpg,⭐ HIGH
544092,Will Harvey Weinstein be sentenced to no prison time?,Crime,courthouse justice legal,market_544092.jpg,⭐ HIGH
544096,Will Harvey Weinstein be sentenced to between 20 and 30 year,Crime,courthouse justice legal,market_544096.jpg,⭐ HIGH
544097,Will Harvey Weinstein be sentenced to more than 30 years in ,Crime,courthouse justice legal,market_544097.jpg,⭐ HIGH
528788,Rojas guilty in Texas illegal abortion case?,Crime,courthouse government building,market_528788.jpg,⭐ HIGH
new_60024,Will SBF's sentence be reduced on appeal?,Crypto,cryptocurrency blockchain digital trading,market_new_60024.jpg,⭐ HIGH
new_60021,Will Coinbase stock hit $500 by end of 2026?,Crypto,cryptocurrency blockchain digital trading,market_new_60021.jpg,⭐ HIGH
new_60025,Will Ripple win SEC lawsuit by July 2026?,Crypto,cryptocurrency blockchain digital trading,market_new_60025.jpg,⭐ HIGH
549874,Will Rob Jetten become the next Prime Minister of the Nether,Crypto,netherlands parliament government dutch,market_549874.jpg,⭐ HIGH
new_60019,"Will Ethereum surpass $5,000 by June 2026?",Crypto,cryptocurrency blockchain digital trading,market_new_60019.jpg,⭐ HIGH
new_60020,Will SEC approve Solana ETF by December 2026?,Crypto,cryptocurrency blockchain digital trading,market_new_60020.jpg,⭐ HIGH
new_60022,Will USDC depeg below $0.95?,Crypto,cryptocurrency blockchain digital trading,market_new_60022.jpg,⭐ HIGH
549877,Will Klaas Dijkhoff become the next Prime Minister of the Ne,Crypto,netherlands parliament government dutch,market_549877.jpg,⭐ HIGH
new_60023,Will NFT trading volume exceed $10B in Q2 2026?,Crypto,cryptocurrency blockchain digital trading,market_new_60023.jpg,⭐ HIGH
549871,Will Nicolien van Vroonhoven-Kok become the next Prime Minis,Crypto,netherlands parliament government dutch,market_549871.jpg,⭐ HIGH
549876,Will Ahmed Aboutaleb become the next Prime Minister of the N,Crypto,netherlands parliament government dutch,market_549876.jpg,⭐ HIGH
549875,Will Henri Bontenbal become the next Prime Minister of the N,Crypto,netherlands parliament government dutch,market_549875.jpg,Normal
549868,Will Dilan Yeşilgöz-Zegerius become the next Prime Minister ,Crypto,netherlands parliament government dutch,market_549868.jpg,Normal
549870,Will Geert Wilders become the next Prime Minister of the Net,Crypto,netherlands parliament government dutch,market_549870.jpg,Normal
549873,Will Caroline van der Plas become the next Prime Minister of,Crypto,netherlands parliament government dutch,market_549873.jpg,Normal
549872,Will Dick Schoof become the next Prime Minister of the Nethe,Crypto,netherlands parliament government dutch,market_549872.jpg,Normal
549869,Will Frans Timmermans become the next Prime Minister of the ,Crypto,netherlands parliament government dutch,market_549869.jpg,Normal
540819,Will Jesus Christ return before GTA VI?,Culture,video game controller gaming console,market_540819.jpg,Normal
new_60045,Will U.S. enter recession in 2026?,Economics,economy business finance trading,market_new_60045.jpg,Normal
new_60042,Will S&P 500 hit 7000 by end of 2026?,Economics,economy business finance trading,market_new_60042.jpg,Normal
new_60040,Will unemployment rate exceed 5% by July 2026?,Economics,economy business finance trading,market_new_60040.jpg,Normal
521944,Will Elon and DOGE cut less than $50b in federal spending in,Economics,government budget finance economy,market_521944.jpg,Normal
new_60044,Will Fed cut rates by 1% or more in 2026?,Economics,economy business finance trading,market_new_60044.jpg,Normal
521946,Will Elon and DOGE cut between $100-150b in federal spending,Economics,government budget finance economy,market_521946.jpg,Normal
new_60043,Will housing prices fall 10% nationally by year-end?,Economics,economy business finance trading,market_new_60043.jpg,Normal
521963,Will Elon cut the budget by at least 10% in 2025?,Economics,government budget finance economy,market_521963.jpg,Normal
521964,Will Elon cut the budget by at least 5% in 2025?,Economics,government budget finance economy,market_521964.jpg,Normal
521949,Will Elon and DOGE cut more than $250b in federal spending i,Economics,government budget finance economy,market_521949.jpg,Normal
new_60041,Will inflation drop below 2% target by December 2026?,Economics,economy business finance trading,market_new_60041.jpg,Normal
521945,Will Elon and DOGE cut between $50-100b in federal spending ,Economics,government budget finance economy,market_521945.jpg,Normal
537488,Will the U.S. collect between $1t and $2t in revenue in 2025,Economics,cargo ship port international trade,market_537488.jpg,Normal
537489,Will the U.S. collect more than $2t in revenue in 2025?,Economics,cargo ship port international trade,market_537489.jpg,Normal
537484,Will the U.S. collect less than $100b in revenue in 2025?,Economics,cargo ship port international trade,market_537484.jpg,Normal
